ID	plant_name	comp_name	colname	conc
1000001	Cinnamomum zeylanicum (bark)	Sabinene	w_5	0.00282
1000001	Cinnamomum zeylanicum (bark)	Alpha-Pinene	w_2	0.01346
1000001	Cinnamomum zeylanicum (bark)	Camphene 	w_3	0.00506
1000001	Cinnamomum zeylanicum (bark)	Beta-Pinene 	w_4	0.00398
1000001	Cinnamomum zeylanicum (bark)	delta-3-Carene	w_110	0.00114
1000001	Cinnamomum zeylanicum (bark)	Terpinolen	w_14	0.00218
1000001	Cinnamomum zeylanicum (bark)	Linalool	w_21	0.03297
1000001	Cinnamomum zeylanicum (bark)	Terpinen-4-ol	w_25	0.00376
1000001	Cinnamomum zeylanicum (bark)	Estragole 	w_150	0.00284
1000001	Cinnamomum zeylanicum (bark)	(E)-Cinnamaldehyde	w_205	0.45596
1000001	Cinnamomum zeylanicum (bark)	Eugenol 	w_55	0.05345
1000001	Cinnamomum zeylanicum (bark)	Alpha-Copaene	w-36	0.00794
1000001	Cinnamomum zeylanicum (bark)	Beta-Caryophyllene	w_39	0.04689
1000001	Cinnamomum zeylanicum (bark)	(Z)-Cinnamyl acetate	w_2086	0.02747
1000001	Cinnamomum zeylanicum (bark)	Alpha-Amorphene	w_636	0.00308
1000001	Cinnamomum zeylanicum (bark)	Caryophyllene oxide	w_51	0.05404
1000001	Cinnamomum zeylanicum (bark)	alpha-Humulene	w_40	0.01320
1000001	Cinnamomum zeylanicum (bark)	Benzyl benzoate	w_454	0.15112
1000002	Cinnamomum zeylanicum (leaf)	Sabinene	w_5	0.00764
1000002	Cinnamomum zeylanicum (leaf)	Alpha-Pinene	w_2	0.04054
1000002	Cinnamomum zeylanicum (leaf)	Camphene 	w_3	0.01490
1000002	Cinnamomum zeylanicum (leaf)	Beta-Pinene 	w_4	0.01395
1000002	Cinnamomum zeylanicum (leaf)	Myrcene	w_6	0.00514
1000002	Cinnamomum zeylanicum (leaf)	(E)-Caryophyllene	w_281	0.05862
1000002	Cinnamomum zeylanicum (leaf)	(E)-beta-Ocimene	w_166	0.00238
1000002	Cinnamomum zeylanicum (leaf)	Gamma-Terpinene	w_11	0.00192
1000002	Cinnamomum zeylanicum (leaf)	Terpinolene	w_14	0.00720
1000002	Cinnamomum zeylanicum (leaf)	Linalool	w_21	0.09726
1000002	Cinnamomum zeylanicum (leaf)	Borneol	w_29	0.00167
1000002	Cinnamomum zeylanicum (leaf)	Terpinen-4-ol	w_25	0.00310
1000002	Cinnamomum zeylanicum (leaf)	Terpinyl acetate	w_18	0.00867
1000002	Cinnamomum zeylanicum (leaf)	(E)-Cinnamaldehyde	w_205	0.03107
1000002	Cinnamomum zeylanicum (leaf)	Eugenol 	w_55	0.32551
1000002	Cinnamomum zeylanicum (leaf)	Alpha-Copaene	w_36	0.01099
1000002	Cinnamomum zeylanicum (leaf)	(E)-Caryophyllene	w_281	0.06953
1000002	Cinnamomum zeylanicum (leaf)	(Z)-Cinnamyl acetate	w_2086	0.01010
1000002	Cinnamomum zeylanicum (leaf)	Alpha-Gurjunene	w_37	0.00400
1000002	Cinnamomum zeylanicum (leaf)	Caryophyllene oxide 	w_51	0.00682
1000002	Cinnamomum zeylanicum (leaf)	Benzyl Benzoate 	w_454	0.05106
1000003	Zingiber officinale	Alpha-Pinene	w_2	0.02167
1000003	Zingiber officinale	Camphene 	w_3	0.03310
1000003	Zingiber officinale	Beta-Pinene 	w_4	0.00777
1000003	Zingiber officinale	Myrcene	w_6	0.00549
1000003	Zingiber officinale	Beta-Phellandrene 	w_109	0.06951
1000003	Zingiber officinale	linalool	w_21	0.04353
1000003	Zingiber officinale	Camphor	w_20	0.00856
1000003	Zingiber officinale	Borneol	w_29	0.01722
1000003	Zingiber officinale	Alpha-Copaene	w_36	0.00965
1000003	Zingiber officinale	Beta-Elemene	w_38	0.00475
1000003	Zingiber officinale	alpha-Humulene	w_40	0.00955
1000003	Zingiber officinale	zingiberene	w_45	0.26393
1000003	Zingiber officinale	Gamma-Cadinene	w_43	0.08994
1000004	Ocimum tenuiflorum	Limonene	w_8	0.00741
1000004	Ocimum tenuiflorum	Linalool	w_21	0.23492
1000004	Ocimum tenuiflorum	Benzyl acetate	w_453	0.01004
1000004	Ocimum tenuiflorum	Menthol	w_263	0.01321
1000004	Ocimum tenuiflorum	Estragole 	w_150	0.62361
1000004	Ocimum tenuiflorum	Neral	w_213	0.00896
1000004	Ocimum tenuiflorum	Neral	w_213	0.01321
1000004	Ocimum tenuiflorum	alpha-Humulene	w_40	0.00878
1000004	Ocimum tenuiflorum	Bergamotol	w_626	0.00645
1000004	Ocimum tenuiflorum	Beta-Bisabolene	w_115	0.00782
1000004	Ocimum tenuiflorum	Alpha-Amorphene	w_636	0.00528
1000004	Ocimum tenuiflorum	Beta-Bisabolene	w_115	0.02471
1000004	Ocimum tenuiflorum	Benzyl Benzoate 	w_454	0.02307
1000005	Alpinia calcarat	"1,8-Cineole"	w_13	0.08505
1000005	Alpinia calcarat	linalool	w_21	0.02782
1000005	Alpinia calcarat	camphor	w_20	0.05773
1000005	Alpinia calcarat	Terpinen-4-ol	w_25	0.03433
1000005	Alpinia calcarat	Estragole 	w_150	0.05975
1000005	Alpinia calcarat	Camphene	w_3	0.16970
